drug,ndc_raw,ndc
bupropion,0187-5812-07,00187581207
bupropion,0187-5812-30,00187581230
bupropion,81968-045-30,81968004530
bupropion,71335-1622-1,71335162201
bupropion,71335-1622-2,71335162202
bupropion,71335-1622-3,71335162203
bupropion,71335-1622-4,71335162204
bupropion,71335-1622-5,71335162205
bupropion,71335-1622-6,71335162206
bupropion,71335-1622-7,71335162207
bupropion,71335-1622-8,71335162208
bupropion,0615-8262-39,00615826239
bupropion,65841-836-10,65841083610
bupropion,68382-353-06,68382035306
bupropion,63187-521-90,63187052190
bupropion,65841-836-16,65841083616
bupropion,71335-0785-9,71335078509
bupropion,65841-780-05,65841078005
bupropion,65841-836-06,65841083606
bupropion,43547-288-10,43547028810
bupropion,68071-5214-1,68071521401
bupropion,68382-354-10,68382035410
bupropion,65841-780-10,65841078010
bupropion,43547-290-50,43547029050
bupropion,65841-780-06,65841078006
bupropion,65841-780-16,65841078016
bupropion,71335-0785-1,71335078501
bupropion,71335-0785-2,71335078502
bupropion,71335-0785-3,71335078503
bupropion,71335-0785-4,71335078504
bupropion,71335-0785-5,71335078505
bupropion,71335-0785-6,71335078506
bupropion,71335-0785-7,71335078507
bupropion,50090-3854-0,50090385400
bupropion,50090-3854-1,50090385401
bupropion,50090-3854-2,50090385402
bupropion,50090-3854-3,50090385403
bupropion,68382-353-05,68382035305
bupropion,68382-353-10,68382035310
bupropion,68382-354-06,68382035406
bupropion,71335-0801-1,71335080101
bupropion,71335-0801-2,71335080102
bupropion,71335-0801-3,71335080103
bupropion,71335-0801-4,71335080104
bupropion,71335-0801-5,71335080105
bupropion,71335-0801-6,71335080106
bupropion,51655-357-26,51655035726
bupropion,43547-290-09,43547029009
bupropion,43547-290-10,43547029010
bupropion,63187-521-60,63187052160
bupropion,71335-1622-9,71335162209
bupropion,63629-8036-1,63629803601
bupropion,43547-289-09,43547028909
bupropion,43547-290-06,43547029006
bupropion,43547-288-06,43547028806
bupropion,43547-288-09,43547028809
bupropion,43547-289-10,43547028910
bupropion,43547-289-50,43547028950
bupropion,71205-565-30,71205056530
bupropion,71205-565-60,71205056560
bupropion,71205-565-90,71205056590
bupropion,63187-521-30,63187052130
bupropion,70518-3318-0,70518331800
bupropion,68382-353-16,68382035316
bupropion,68382-354-05,68382035405
bupropion,70518-2641-0,70518264100
bupropion,43547-288-50,43547028850
bupropion,70934-151-30,70934015130
bupropion,70934-151-60,70934015160
bupropion,70934-151-90,70934015190
bupropion,70934-151-96,70934015196
bupropion,71335-0785-8,71335078508
bupropion,68382-354-16,68382035416
bupropion,65841-836-05,65841083605
bupropion,43547-289-06,43547028906
bupropion,43547-289-25,43547028925
bupropion,61919-674-30,61919067430
bupropion,50228-175-60,50228017560
bupropion,64980-201-05,64980020105
bupropion,64980-202-05,64980020205
bupropion,43598-656-05,43598065605
bupropion,68788-7988-3,68788798803
bupropion,68788-7988-6,68788798806
bupropion,68788-7988-9,68788798809
bupropion,68180-319-06,68180031906
bupropion,68180-320-02,68180032002
bupropion,71335-0877-2,71335087702
bupropion,63187-819-90,63187081990
bupropion,42806-348-05,42806034805
bupropion,42806-348-09,42806034809
bupropion,42806-348-30,42806034830
bupropion,42806-349-05,42806034905
bupropion,42806-349-09,42806034909
bupropion,71335-1156-5,71335115605
bupropion,0115-5445-13,00115544513
bupropion,0115-6811-02,00115681102
bupropion,0115-6811-08,00115681108
bupropion,0115-6811-10,00115681110
bupropion,50090-1869-0,50090186900
bupropion,55154-7986-0,55154798600
bupropion,68788-7121-1,68788712101
bupropion,68788-7121-8,68788712108
bupropion,71335-1702-1,71335170201
bupropion,71335-1702-2,71335170202
bupropion,71335-1702-3,71335170203
bupropion,71335-1702-4,71335170204
bupropion,71335-1702-5,71335170205
bupropion,71335-1702-6,71335170206
bupropion,71335-1702-7,71335170207
bupropion,71335-1702-8,71335170208
bupropion,71335-0182-2,71335018202
bupropion,24689-119-01,24689011901
bupropion,24689-120-01,24689012001
bupropion,72189-134-90,72189013490
bupropion,50228-144-05,50228014405
bupropion,50228-144-90,50228014490
bupropion,50228-145-30,50228014530
bupropion,50228-175-30,50228017530
bupropion,68001-322-05,68001032205
bupropion,58657-712-30,58657071230
bupropion,47335-954-81,47335095481
bupropion,53002-2508-3,53002250803
bupropion,67544-299-60,67544029960
bupropion,72241-020-05,72241002005
bupropion,72241-020-11,72241002011
bupropion,72241-020-17,72241002017
bupropion,72241-021-05,72241002105
bupropion,72241-021-11,72241002111
bupropion,72241-021-17,72241002117
bupropion,0904-7084-04,00904708404
bupropion,0904-7084-61,00904708461
bupropion,50090-2584-0,50090258400
bupropion,50090-0862-0,50090086200
bupropion,50090-0862-1,50090086201
bupropion,50090-0862-2,50090086202
bupropion,0615-8241-39,00615824139
bupropion,0615-8261-39,00615826139
bupropion,0615-8296-39,00615829639
bupropion,71335-0135-7,71335013507
bupropion,71610-346-60,71610034660
bupropion,68084-708-25,68084070825
bupropion,58657-712-50,58657071250
bupropion,58657-712-90,58657071290
bupropion,58657-713-30,58657071330
bupropion,58657-713-50,58657071350
bupropion,58657-713-90,58657071390
bupropion,71610-372-80,71610037280
bupropion,71610-372-94,71610037294
bupropion,71610-384-80,71610038480
bupropion,71610-384-94,71610038494
bupropion,70436-011-04,70436001104
bupropion,63187-178-30,63187017830
bupropion,63187-178-60,63187017860
bupropion,71335-0791-1,71335079101
bupropion,71335-0791-2,71335079102
bupropion,71335-0791-3,71335079103
bupropion,71335-0791-4,71335079104
bupropion,71335-0791-5,71335079105
bupropion,71335-0791-6,71335079106
bupropion,71335-0791-7,71335079107
bupropion,71335-0182-7,71335018207
bupropion,63187-766-30,63187076630
bupropion,16729-444-10,16729044410
bupropion,16729-444-16,16729044416
bupropion,43598-538-60,43598053860
bupropion,63187-819-78,63187081978
bupropion,50090-5163-1,50090516301
bupropion,70436-010-06,70436001006
bupropion,70436-011-02,70436001102
bupropion,71335-0135-4,71335013504
bupropion,71335-0135-6,71335013506
bupropion,70518-3058-0,70518305800
bupropion,71335-0019-5,71335001905
