drug,ndc_raw,ndc
aripiprazole,16729-279-01,16729027901
aripiprazole,16729-279-10,16729027910
aripiprazole,16729-280-01,16729028001
aripiprazole,16729-280-10,16729028010
aripiprazole,16729-281-01,16729028101
aripiprazole,16729-281-10,16729028110
aripiprazole,16729-282-01,16729028201
aripiprazole,16729-282-10,16729028210
aripiprazole,16729-283-01,16729028301
aripiprazole,16729-283-10,16729028310
aripiprazole,60505-2673-3,60505267303
aripiprazole,60505-2675-3,60505267503
aripiprazole,60505-2676-3,60505267603
aripiprazole,43353-147-15,43353014715
aripiprazole,43353-148-45,43353014845
aripiprazole,43547-303-10,43547030310
aripiprazole,43547-307-10,43547030710
aripiprazole,50268-090-12,50268009012
aripiprazole,72888-100-20,72888010020
aripiprazole,66689-735-05,66689073505
aripiprazole,27241-051-03,27241005103
aripiprazole,27241-051-08,27241005108
aripiprazole,27241-052-03,27241005203
aripiprazole,27241-052-08,27241005208
aripiprazole,27241-053-03,27241005303
aripiprazole,27241-053-08,27241005308
aripiprazole,27241-054-03,27241005403
aripiprazole,27241-054-08,27241005408
aripiprazole,27241-055-03,27241005503
aripiprazole,27241-055-08,27241005508
aripiprazole,27241-056-03,27241005603
aripiprazole,27241-056-08,27241005608
aripiprazole,65862-661-30,65862066130
aripiprazole,65862-662-01,65862066201
aripiprazole,65862-663-05,65862066305
aripiprazole,65862-666-78,65862066678
aripiprazole,43547-303-09,43547030309
aripiprazole,43547-304-09,43547030409
aripiprazole,43547-306-03,43547030603
aripiprazole,43547-307-50,43547030750
aripiprazole,67877-430-01,67877043001
aripiprazole,67877-430-03,67877043003
aripiprazole,67877-430-05,67877043005
aripiprazole,67877-430-32,67877043032
aripiprazole,67877-430-38,67877043038
aripiprazole,67877-431-01,67877043101
aripiprazole,67877-431-03,67877043103
aripiprazole,67877-431-05,67877043105
aripiprazole,67877-431-32,67877043132
aripiprazole,67877-431-38,67877043138
aripiprazole,67877-432-01,67877043201
aripiprazole,67877-432-03,67877043203
aripiprazole,67877-432-05,67877043205
aripiprazole,67877-432-32,67877043232
aripiprazole,67877-432-38,67877043238
aripiprazole,67877-433-01,67877043301
aripiprazole,67877-433-03,67877043303
aripiprazole,67877-433-05,67877043305
aripiprazole,67877-433-32,67877043332
aripiprazole,67877-433-38,67877043338
aripiprazole,67877-434-01,67877043401
aripiprazole,67877-434-03,67877043403
aripiprazole,67877-434-05,67877043405
aripiprazole,67877-434-38,67877043438
aripiprazole,67877-435-01,67877043501
aripiprazole,67877-435-03,67877043503
aripiprazole,67877-435-05,67877043505
aripiprazole,67877-435-38,67877043538
aripiprazole,60505-2676-8,60505267608
aripiprazole,43598-555-05,43598055505
aripiprazole,43598-555-30,43598055530
aripiprazole,62332-097-30,62332009730
aripiprazole,62332-097-60,62332009760
aripiprazole,62332-099-31,62332009931
aripiprazole,62332-099-71,62332009971
aripiprazole,62332-102-71,62332010271
aripiprazole,62332-102-91,62332010291
aripiprazole,46708-258-31,46708025831
aripiprazole,46708-258-71,46708025871
aripiprazole,46708-259-30,46708025930
aripiprazole,68788-7063-2,68788706302
aripiprazole,68382-082-01,68382008201
aripiprazole,68382-082-06,68382008206
aripiprazole,68382-083-06,68382008306
aripiprazole,68382-083-10,68382008310
aripiprazole,68382-083-14,68382008314
aripiprazole,68382-083-16,68382008316
aripiprazole,68382-083-19,68382008319
aripiprazole,68382-084-06,68382008406
aripiprazole,68382-084-10,68382008410
aripiprazole,68382-084-14,68382008414
aripiprazole,68382-084-16,68382008416
aripiprazole,68382-084-19,68382008419
aripiprazole,68382-085-06,68382008506
aripiprazole,68382-085-10,68382008510
aripiprazole,68382-085-14,68382008514
aripiprazole,68382-085-16,68382008516
aripiprazole,68382-085-19,68382008519
aripiprazole,68382-086-06,68382008606
aripiprazole,68382-086-10,68382008610
aripiprazole,68382-086-14,68382008614
aripiprazole,68382-086-16,68382008616
aripiprazole,68382-086-19,68382008619
aripiprazole,68382-439-01,68382043901
aripiprazole,68382-439-05,68382043905
aripiprazole,68382-439-06,68382043906
aripiprazole,68382-439-77,68382043977
aripiprazole,43547-302-03,43547030203
aripiprazole,43547-302-50,43547030250
aripiprazole,43547-305-03,43547030503
aripiprazole,43547-307-09,43547030709
aripiprazole,43598-557-30,43598055730
aripiprazole,43598-558-30,43598055830
aripiprazole,60505-3075-3,60505307503
aripiprazole,70518-2820-3,70518282003
aripiprazole,65862-661-05,65862066105
aripiprazole,70518-2806-2,70518280602
aripiprazole,60687-157-21,60687015721
aripiprazole,29300-175-05,29300017505
aripiprazole,29300-176-05,29300017605
aripiprazole,29300-177-05,29300017705
aripiprazole,29300-178-05,29300017805
aripiprazole,29300-179-05,29300017905
aripiprazole,29300-180-05,29300018005
aripiprazole,43353-140-45,43353014045
aripiprazole,54838-570-59,54838057059
aripiprazole,60505-3075-8,60505307508
aripiprazole,71428-018-15,71428001815
aripiprazole,70518-2974-1,70518297401
