drug,ndc_raw,ndc
alprazolam,50090-5261-0,50090526100
alprazolam,68071-5113-3,68071511303
alprazolam,71335-1894-1,71335189401
alprazolam,71335-0849-0,71335084900
alprazolam,71335-0849-4,71335084904
alprazolam,68788-7596-2,68788759602
alprazolam,68788-7596-3,68788759603
alprazolam,68788-7596-6,68788759606
alprazolam,68788-7596-8,68788759608
alprazolam,68788-7596-9,68788759609
alprazolam,55289-523-01,55289052301
alprazolam,55289-523-90,55289052390
alprazolam,71335-1894-2,71335189402
alprazolam,71335-1894-3,71335189403
alprazolam,71335-1894-4,71335189404
alprazolam,71335-1894-5,71335189405
alprazolam,71335-1894-6,71335189406
alprazolam,71335-1894-7,71335189407
alprazolam,50090-5261-1,50090526101
alprazolam,50090-5261-2,50090526102
alprazolam,50090-5261-3,50090526103
alprazolam,43063-609-40,43063060940
alprazolam,61919-379-30,61919037930
alprazolam,71335-0849-1,71335084901
alprazolam,71335-0849-3,71335084903
alprazolam,70954-508-10,70954050810
alprazolam,70954-508-20,70954050820
alprazolam,70954-508-30,70954050830
alprazolam,70954-511-10,70954051110
alprazolam,70954-511-20,70954051120
alprazolam,66267-564-60,66267056460
alprazolam,50090-5257-4,50090525704
alprazolam,50090-5262-0,50090526200
alprazolam,35356-744-60,35356074460
alprazolam,59762-0066-1,59762006601
alprazolam,68788-9682-3,68788968203
alprazolam,68788-9682-6,68788968206
alprazolam,68788-9682-9,68788968209
alprazolam,59762-3722-1,59762372201
alprazolam,43063-609-30,43063060930
alprazolam,43063-609-90,43063060990
alprazolam,65862-679-05,65862067905
alprazolam,55289-523-60,55289052360
alprazolam,72189-058-60,72189005860
alprazolam,49884-110-74,49884011074
alprazolam,71335-0849-5,71335084905
alprazolam,71335-0849-7,71335084907
alprazolam,65862-679-01,65862067901
alprazolam,65862-457-60,65862045760
alprazolam,65862-457-99,65862045799
alprazolam,0228-2029-10,00228202910
alprazolam,0228-2029-50,00228202950
alprazolam,0228-2029-96,00228202996
alprazolam,68071-4923-3,68071492303
alprazolam,63187-518-60,63187051860
alprazolam,65862-457-71,65862045771
alprazolam,50090-4950-0,50090495000
alprazolam,71335-0849-2,71335084902
alprazolam,71335-0849-9,71335084909
alprazolam,71335-2133-0,71335213300
alprazolam,71335-2133-1,71335213301
alprazolam,71335-2133-2,71335213302
alprazolam,71335-2133-3,71335213303
alprazolam,0228-2031-10,00228203110
alprazolam,0228-2031-50,00228203150
alprazolam,0228-2031-96,00228203196
alprazolam,50090-4950-1,50090495001
alprazolam,50090-4950-2,50090495002
alprazolam,50090-4950-3,50090495003
alprazolam,66267-564-90,66267056490
alprazolam,63187-518-30,63187051830
alprazolam,63187-518-90,63187051890
alprazolam,45865-993-30,45865099330
alprazolam,55700-312-30,55700031230
alprazolam,55700-312-60,55700031260
alprazolam,0228-3087-06,00228308706
alprazolam,71335-0849-6,71335084906
alprazolam,71335-0849-8,71335084908
alprazolam,55289-523-30,55289052330
alprazolam,71335-0427-1,71335042701
alprazolam,71335-0427-2,71335042702
alprazolam,71335-0427-3,71335042703
alprazolam,71335-0427-4,71335042704
alprazolam,71335-1092-0,71335109200
alprazolam,55700-312-90,55700031290
alprazolam,71335-1291-1,71335129101
alprazolam,71335-1092-1,71335109201
alprazolam,71335-1092-2,71335109202
alprazolam,71335-1092-3,71335109203
alprazolam,71335-1092-4,71335109204
alprazolam,71335-1092-5,71335109205
alprazolam,71335-1092-6,71335109206
alprazolam,71335-1092-7,71335109207
alprazolam,71335-1092-8,71335109208
alprazolam,71335-1092-9,71335109209
alprazolam,43063-609-60,43063060960
alprazolam,71335-2133-4,71335213304
alprazolam,71335-2133-5,71335213305
alprazolam,71335-2133-6,71335213306
alprazolam,71335-2133-7,71335213307
alprazolam,71335-2133-8,71335213308
alprazolam,71335-2133-9,71335213309
alprazolam,0615-8295-39,00615829539
alprazolam,0781-1077-01,00781107701
alprazolam,0781-1077-05,00781107705
alprazolam,0781-1077-10,00781107710
alprazolam,65162-809-06,65162080906
alprazolam,0009-0068-07,00009006807
alprazolam,0009-0066-07,00009006607
alprazolam,0009-0029-01,00009002901
alprazolam,0009-0029-02,00009002902
alprazolam,0009-0057-07,00009005707
alprazolam,0009-0055-01,00009005501
alprazolam,0009-0055-03,00009005503
alprazolam,0009-0094-01,00009009401
alprazolam,0009-0090-01,00009009001
alprazolam,0009-0090-04,00009009004
alprazolam,0009-0059-07,00009005907
chlordiazepoxide,61919-593-30,61919059330
chlordiazepoxide,0378-0211-01,00378021101
chlordiazepoxide,0378-0211-05,00378021105
chlordiazepoxide,0378-0277-01,00378027701
chlordiazepoxide,0378-0277-05,00378027705
chlordiazepoxide,42571-303-01,42571030301
chlordiazepoxide,42571-303-05,42571030305
chlordiazepoxide,42571-302-01,42571030201
chlordiazepoxide,42571-302-05,42571030205
chlordiazepoxide,42571-381-01,42571038101
chlordiazepoxide,70518-0015-0,70518001500
chlordiazepoxide,68071-2747-6,68071274706
chlordiazepoxide,70518-1752-1,70518175201
chlordiazepoxide,42806-564-01,42806056401
chlordiazepoxide,42806-565-01,42806056501
chlordiazepoxide,42806-566-01,42806056601
chlordiazepoxide,63629-4669-1,63629466901
chlordiazepoxide,63629-4669-2,63629466902
chlordiazepoxide,63629-4669-3,63629466903
chlordiazepoxide,43063-046-03,43063004603
chlordiazepoxide,43063-046-15,43063004615
chlordiazepoxide,43353-699-30,43353069930
chlordiazepoxide,43547-251-10,43547025110
chlordiazepoxide,43547-252-10,43547025210
chlordiazepoxide,43547-253-10,43547025310
chlordiazepoxide,68071-5256-6,68071525606
chlordiazepoxide,43353-699-60,43353069960
chlordiazepoxide,0555-0033-02,00555003302
chlordiazepoxide,0555-0033-05,00555003305
chlordiazepoxide,0555-0158-02,00555015802
chlordiazepoxide,0555-0158-04,00555015804
chlordiazepoxide,0555-0159-02,00555015902
chlordiazepoxide,0555-0159-04,00555015904
chlordiazepoxide,55154-5652-0,55154565200
chlordiazepoxide,70518-3134-0,70518313400
chlordiazepoxide,51079-141-20,51079014120
chlordiazepoxide,51079-374-20,51079037420
chlordiazepoxide,51079-375-20,51079037520
chlordiazepoxide,43063-046-12,43063004612
chlordiazepoxide,58118-1033-8,58118103308
chlordiazepoxide,58118-1590-8,58118159008
chlordiazepoxide,62135-220-60,62135022060
